source,relation,target,source_type,target_type
apparatus,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
pattern generator,measures_hasUnit,µs,Diagnostic Device,Unit
plasma -generating gas,used_in,discharge,Medium,Plasma Source
oscilloscope,measures_hasUnit,nanosecond,Diagnostic Device,Unit
pulsed,generatedBy_measures,density,Plasma Study,Quantity
electron heating space chamber,usedIn_ResearchActivity_hasPlasmaSource,plasma generating space chamber,Diagnostic Device,Plasma Source
microwave oscillator,measures,frequencies,Diagnostic Device,Quantity
deflection electromagnets,measures,high energy,Diagnostic Device,Quantity
duration,hasUnit,nanoseconds,Quantity,Unit
kHz,unit_of,half cycles,Unit,Quantity
experimental,usesDevice_Device_measures,displacement discharge currents,Scientific Experiment,Quantity
admixtures of oxygen,used_in,BD,Medium,Plasma Source
quasiperiodic state,generatedBy_measures,electric current,Plasma Study,Quantity
µs,unit_of,effective delay,Unit,Quantity
anode,usedIn_ResearchActivity_investigates,heating,Diagnostic Device,Physical Effect
cm,unit_of,frequency,Unit,Quantity
experimental results,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
Hamamatsu C5680,measures,pressure,Diagnostic Device,Quantity
CCS measurements,hasMedium,6 vol O 2 and 94 vol N 2,Scientific Experiment,Medium
Experimental set up,usesConfiguration,symmetric double sided DBD arrangement,Scientific Experiment,Configuration
logarithmic scaling,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
RF,measures,-voltage,Diagnostic Device,Quantity
dielectric barrier discharge,measures,electric field,Plasma Source,Quantity
discharge properties,generatedBy_measures,neutral gas flow rate,Plasma Study,Quantity
bar,unit_of,O 2 concentration,Unit,Quantity
time,hasUnit,vol,Quantity,Unit
cathode,usedIn_ResearchActivity_hasPlasmaSource,discharge,Diagnostic Device,Plasma Source
wave -guide,usedIn_ResearchActivity_hasPlasmaSource,energy,Diagnostic Device,Plasma Source
chamber,measures,gap,Diagnostic Device,Quantity
kV,unit_of,duty cycles,Unit,Quantity
apparatus,usedToDiagnose_MaterialEntity_hasApplicationField,weld -coating,Diagnostic Device,Application Field
spectrally integrated,usesDevice_Device_measures,emission duration,Scientific Experiment,Quantity
Zener diodes,usedIn_ResearchActivity_investigates,memory effect,Diagnostic Device,Physical Effect
vacuum chamber,usedIn_ResearchActivity_hasMedium,gas,Diagnostic Device,Medium
reaction chamber,measures,magnetic flux density,Diagnostic Device,Quantity
reaction chamber,usedIn_ResearchActivity_hasPlasmaSource,cold plasma,Diagnostic Device,Plasma Source
spectra,hasMedium,gas impurities,Scientific Experiment,Medium
measurements of the discharge current,usesDevice_Device_measures,propagation velocities,Scientific Experiment,Quantity
experimental results,investigates,breakdown,Scientific Experiment,Physical Effect
apparatus,measures,diameter,Diagnostic Device,Quantity
ion source chamber,measures,potential,Plasma Source,Quantity
MD,measures_hasUnit,ns,Plasma Source,Unit
barrier discharge,uses,pure gases,Plasma Source,Medium
ppm,unit_of,plasma density,Unit,Quantity
sccm,unit_of,total gas flow,Unit,Quantity
electromagnets,usedIn_ResearchActivity_hasPlasmaSource,ion beam,Diagnostic Device,Plasma Source
ns,unit_of,DBD emission,Unit,Quantity
nanoseconds,unit_of,applied,Unit,Quantity
microdischarges per cm 2 per second,unit_of,power density,Unit,Quantity
high energy photon source,measures,energy,Diagnostic Device,Quantity
pressure,hasUnit,years,Quantity,Unit
air core coils,usedIn_ResearchActivity_hasPlasmaSource,AC,Diagnostic Device,Plasma Source
laser beam profile,investigates,laser photodetachment,Scientific Experiment,Physical Effect
electron gun,measures,potential,Diagnostic Device,Quantity
laser,usesDevice_Device_measures,time,Scientific Experiment,Quantity
laser photodetachment experiment,hasMedium,He O 2,Scientific Experiment,Medium
emission maximum,hasUnit,vol,Quantity,Unit
electrostatic probe,usedIn_ResearchActivity_investigates,molecular dissociation,Diagnostic Device,Physical Effect
plasma jet,measures,magnetic field,Plasma Source,Quantity
ppm,unit_of,N 2,Unit,Quantity
development of the discharge emission,generatedBy_measures,discharge net current,Plasma Study,Quantity
laser pulse,usesDevice_Device_measures,breakdown voltage,Scientific Experiment,Quantity
helium,used_in,dielectric barrier discharges,Medium,Plasma Source
optical emission spectroscopy,hasMedium,neon,Scientific Experiment,Medium
anode,usedIn_ResearchActivity_hasPlasmaSource,plasma source,Diagnostic Device,Plasma Source
Experimental set up,usesConfiguration,symmetric discharge cell,Scientific Experiment,Configuration
chamber,measures,temperature,Diagnostic Device,Quantity
discharge electrode,measures,diameter,Plasma Source,Quantity
µs,unit_of,frequency,Unit,Quantity
device,measures,temperature,Diagnostic Device,Quantity
discharge characteristics,generatedBy_measures,transferred charge,Plasma Study,Quantity
Andor iStar DH734 18U A3,usedIn_ResearchActivity_hasPlasmaSource,MDs,Diagnostic Device,Plasma Source
channel diameter,generatedBy_measures,current maximum,Plasma Study,Quantity
experimental observations,usesDevice_Device_measures,currentvoltage,Scientific Experiment,Quantity
slot antenna,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
laser,usesDevice_Device_measures,width,Scientific Experiment,Quantity
radial resolution,usesConfiguration,dielectric covered electrode,Scientific Experiment,Configuration
microdischarge,uses,air,Plasma Source,Medium
Tektronix TDS 380,measures_hasUnit,kHz,Diagnostic Device,Unit
microcontroller,measures,power,Diagnostic Device,Quantity
camera,measures,half periods,Diagnostic Device,Quantity
frequency,hasUnit,μs,Quantity,Unit
velocity,hasUnit,1vol,Quantity,Unit
ICCD,measures_hasUnit,kV,Diagnostic Device,Unit
color filter,measures,light intensity,Diagnostic Device,Quantity
exper imentally obtained reduction of transferred charge,hasMedium,N 2 O admixture,Scientific Experiment,Medium
K,unit_of,gas density,Unit,Quantity
gas mixture,used_in,microdischarges,Medium,Plasma Source
total gas flow,hasUnit,sccm,Quantity,Unit
Tektronix TCP0150,measures_hasUnit,ns,Diagnostic Device,Unit
amplifier,measures,RF power,Diagnostic Device,Quantity
housing,measures,low temperature,Diagnostic Device,Quantity
fast discharge current measurements,usesDevice_Device_measures,discharge current,Scientific Experiment,Quantity
MDs,measures,electron density,Plasma Source,Quantity
pulsed dielectric barrier arrangement,measures,discharge current,Plasma Source,Quantity
experimental conditions,hasPlasmaSource,dielectric barrier discharges,Scientific Experiment,Plasma Source
streamer velocities,hasUnit,µm,Quantity,Unit
translation device,usedToDiagnose_MaterialEntity_hasApplicationField,deposition,Diagnostic Device,Application Field
experiments,usesDevice_Device_measures,O 2 concentration,Scientific Experiment,Quantity
chamber,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
electrical characteristics,hasMedium,nominally pure helium,Scientific Experiment,Medium
laser photodetachment experiment,investigates,breakdowns,Scientific Experiment,Physical Effect
Td,unit_of,E N,Unit,Quantity
MD,measures,charge,Plasma Source,Quantity
resonance cavity,measures,magnetic field,Diagnostic Device,Quantity
lm,unit_of,half period,Unit,Quantity
Pfeiffer MVP 020 3 AC,hasMedium,specific gas mixture,Scientific Experiment,Medium
reactor,usedIn_ResearchActivity_hasPlasmaSource,neutron source,Diagnostic Device,Plasma Source
characteristic temporal structures,generatedBy_measures,electric field,Plasma Study,Quantity
voltage current waveform,hasUnit,ns,Quantity,Unit
ring,usedIn_ResearchActivity_investigates,polarization,Diagnostic Device,Physical Effect
Tektronix DPO 7254C,measures,rise time,Diagnostic Device,Quantity
gas supply unit,usedIn_ResearchActivity_hasPlasmaSource,electrical,Diagnostic Device,Plasma Source
tracking of the breakdown,usesDevice_Device_measures,duration,Scientific Experiment,Quantity
spark gap,measures,phase difference,Plasma Source,Quantity
GS s,unit_of,rise time,Unit,Quantity
sorting device,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
pulsed,measures,flow density,Plasma Source,Quantity
vacuum system,usedIn_ResearchActivity_hasPlasmaSource,atmospheric pressure,Diagnostic Device,Plasma Source
cavity,usedIn_ResearchActivity_hasPlasmaSource,radio frequency,Diagnostic Device,Plasma Source
helium with small impurities,used_in,atmospheric pressure discharges,Medium,Plasma Source
LeCroy 9304AM,measures_hasUnit,pC,Diagnostic Device,Unit
observed,investigates,discharge jitter,Scientific Experiment,Physical Effect
SPRAY,usedIn_ResearchActivity_investigates,THERMAL,Diagnostic Device,Physical Effect
barrier discharge,measures,pressure,Plasma Source,Quantity
waveguide portion,usedIn_ResearchActivity_hasPlasmaSource,plasma generating space chamber,Diagnostic Device,Plasma Source
fuel injection arrangement,usedIn_ResearchActivity_hasPlasmaSource,plasma torch,Diagnostic Device,Plasma Source
sensitivity,usesDevice_Device_measures,bandwidth,Scientific Experiment,Quantity
electromagnets,measures,current,Diagnostic Device,Quantity
connector,usedIn_ResearchActivity_hasPlasmaSource,plasma generator,Diagnostic Device,Plasma Source
consumable holder assembly,usedIn_ResearchActivity_hasPlasmaSource,plasma arc torch,Diagnostic Device,Plasma Source
TDS 7054,measures,voltage,Diagnostic Device,Quantity
power densities,hasUnit,W,Quantity,Unit
ns,unit_of,count rates,Unit,Quantity
plasma apparatus,usedIn_ResearchActivity_hasPlasmaSource,direct current,Diagnostic Device,Plasma Source
space and time resolved high resolution recordings,hasPlasmaSource_generates,atmospheric pressure,Scientific Experiment,Plasma Study
observed,investigates,stratification,Scientific Experiment,Physical Effect
excitation energy,hasUnit,μs,Quantity,Unit
experimental conditions,hasMedium,pure nitrogen,Scientific Experiment,Medium
over -pressure relief valve,usedIn_ResearchActivity_hasPlasmaSource,negative -electrode jacket,Diagnostic Device,Plasma Source
plasma processing apparatus,measures,thickness,Diagnostic Device,Quantity
laser,measures,voltage,Diagnostic Device,Quantity
plasma chamber,measures,position,Diagnostic Device,Quantity
visible spectral range,usesDevice_Device_measures,duty cycles,Scientific Experiment,Quantity
laser induced pre ionization,investigates,laser induced pre ionization,Scientific Experiment,Physical Effect
dielectric barrier MD,measures_hasUnit,vol,Plasma Source,Unit
mA,unit_of,electric current,Unit,Quantity
laser wavelength variation,usesDevice_Device_measures,laser wavelength,Scientific Experiment,Quantity
coils,measures,PF,Diagnostic Device,Quantity
electrical characteristics,investigates,pre ionisation,Scientific Experiment,Physical Effect
illuminated semiconducting barrier,usesDevice_Device_measures,diameter,Scientific Experiment,Quantity
logarithmic scaling,usesDevice_Device_measures,intensity,Scientific Experiment,Quantity
space charge density,hasUnit,nanoseconds,Quantity,Unit
concentrations,hasUnit,ppm,Quantity,Unit
volume,hasUnit,ppm,Quantity,Unit
ground electrode,usedToDiagnose_MaterialEntity_hasApplicationField,shape,Diagnostic Device,Application Field
APTD,measures,duration,Plasma Source,Quantity
experimental data,investigates,breakdown,Scientific Experiment,Physical Effect
optical fiber,measures,distance,Diagnostic Device,Quantity
barrier discharges,uses,He N 2 mixtures,Plasma Source,Medium
switch driver,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
accelerator,measures,thrust,Diagnostic Device,Quantity
thermal plasma,generatedBy_measures,dilute pollutant concentrations,Plasma Study,Quantity
Undulator,usedIn_ResearchActivity_investigates,electromagnetic,Diagnostic Device,Physical Effect
accelerator,measures,high energy,Diagnostic Device,Quantity
high -frequency,usedIn_ResearchActivity_hasPlasmaSource,cold plasma,Diagnostic Device,Plasma Source
iCCD gate width,investigates,discharge emission,Scientific Experiment,Physical Effect
generator,usedIn_ResearchActivity_investigates,polarity fields,Diagnostic Device,Physical Effect
central circuit board,usedIn_ResearchActivity_hasPlasmaSource,plasma torch,Diagnostic Device,Plasma Source
far field microscope,usedIn_ResearchActivity_hasPlasmaSource,microdischarge,Diagnostic Device,Plasma Source
np,usedToDiagnose_MaterialEntity_hasApplicationField,semiconductor fabrication,Diagnostic Device,Application Field
mass flow controllers,usedIn_ResearchActivity_hasMedium,He N 2 mixtures,Diagnostic Device,Medium
plasma arc,measures,arc current,Plasma Source,Quantity
MPa,unit_of,pressures,Unit,Quantity
mobility,hasUnit,cm 2 V s 1,Quantity,Unit
period,hasUnit,µs,Quantity,Unit
temporal and spatial resolution,hasPlasmaSource,MD,Scientific Experiment,Plasma Source
experiments,investigates,pre ionization,Scientific Experiment,Physical Effect
combustion chamber,measures,flow,Diagnostic Device,Quantity
total discharge current,hasUnit,nF,Quantity,Unit
torch,measures,Pressure,Plasma Source,Quantity
atmospheric pressure,generatedBy_measures,power,Plasma Study,Quantity
ns,unit_of,rise fall time,Unit,Quantity
vol,unit_of,O 2 N 2 ratio,Unit,Quantity
high sensitivity,hasPlasmaSource,MDs,Scientific Experiment,Plasma Source
plasma jet,measures,area,Plasma Source,Quantity
electric field strength,hasUnit,bar,Quantity,Unit
thermal,measures,energy,Plasma Source,Quantity
kV,unit_of,current waveforms,Unit,Quantity
iCCD,usedIn_ResearchActivity_investigates,propagation,Diagnostic Device,Physical Effect
observed,usesDevice_Device_measures,gas flow rates,Scientific Experiment,Quantity
GS s,unit_of,electrical power,Unit,Quantity
lines mm,unit_of,wavelength,Unit,Quantity
DBDs,measures_hasUnit,mm,Plasma Source,Unit
iCCD single shots,usesDevice_Device_measures,displacement current,Scientific Experiment,Quantity
cathode,measures,potential,Diagnostic Device,Quantity
measured,usesDevice_Device_measures,current slope,Scientific Experiment,Quantity
spectrally integrated emission,usesDevice_Device_measures,excitation energy,Scientific Experiment,Quantity
laser,hasPlasmaSource_generates,discharge development,Scientific Experiment,Plasma Study
g kWh 1,unit_of,ozone concentration,Unit,Quantity
inductor,measures,inductance,Diagnostic Device,Quantity
particle accelerator,measures,power,Diagnostic Device,Quantity
discharge characteristics,generatedBy_measures,discharge emission duration,Plasma Study,Quantity
streak images,usesConfiguration,electrode tips,Scientific Experiment,Configuration
stable,generatedBy_measures,amplitudes,Plasma Study,Quantity
experimental conditions,investigates,detached,Scientific Experiment,Physical Effect
repetition rate,hasUnit,V,Quantity,Unit
device,usedToDiagnose_MaterialEntity_hasApplicationField,treating the surface,Diagnostic Device,Application Field
argon,used_in,atmospheric pressure,Medium,Plasma Source
gas composition,used_in,DBD,Medium,Plasma Source
Experimental results,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
s,unit_of,positive polarity,Unit,Quantity
capacitor discharge,measures,time,Plasma Source,Quantity
constant gas pressure,uses,gas,Plasma Source,Medium
atmospheric pressure,generatedBy_measures,average power density,Plasma Study,Quantity
reduced electrical field strength,hasUnit,Vm 2,Quantity,Unit
cooling medium channel,measures,cooling,Diagnostic Device,Quantity
pulsed laser,measures,high power,Diagnostic Device,Quantity
discharge gap width,hasUnit,bar,Quantity,Unit
mm,unit_of,breakdown voltage,Unit,Quantity
Overview spectra,hasPlasmaSource_generates,emission spectrum,Scientific Experiment,Plasma Study
iCCD single shots,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
gas injector,measures,flow rates,Diagnostic Device,Quantity
MD channel,generatedBy_measures,concentration,Plasma Study,Quantity
electric field strength,hasUnit,K,Quantity,Unit
burner,usedIn_ResearchActivity_hasPlasmaSource,thermal,Diagnostic Device,Plasma Source
ions,used_in,ion beam,Medium,Plasma Source
measured residence times,usesDevice_Device_measures,CO 2 conversion frequency,Scientific Experiment,Quantity
OES,usesDevice_Device_measures,volume,Scientific Experiment,Quantity
µm,unit_of,polarity,Unit,Quantity
plasma sources,uses,atmospheric pressure,Plasma Source,Medium
electrical diagnostics,hasMedium,N 2 O,Scientific Experiment,Medium
gases,used_in,dielectric barrier discharges,Medium,Plasma Source
discharge inception distribution,hasUnit,vol,Quantity,Unit
observed,investigates,dark spaces in front of the cathode,Scientific Experiment,Physical Effect
measurements,hasPlasmaSource,MDs,Scientific Experiment,Plasma Source
similar,unit_of,velocities,Unit,Quantity
ppm,unit_of,streamer velocities,Unit,Quantity
gas flow,used_in,plasma discharge,Medium,Plasma Source
anode,usedIn_ResearchActivity_hasPlasmaSource,hollow cathode,Diagnostic Device,Plasma Source
kV,unit_of,velocity,Unit,Quantity
Td,unit_of,rate coefficient,Unit,Quantity
voltage divider,usesDevice_Device_measures,voltage probe,Scientific Experiment,Quantity
standard condition,usesDevice_Device_measures,gas temperatures,Scientific Experiment,Quantity
iCCD images,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
dielectric barrier discharges,uses,gas mixture,Plasma Source,Medium
frequency,hasUnit,days,Quantity,Unit
ICCD,usedIn_ResearchActivity_hasPlasmaSource,APTD,Diagnostic Device,Plasma Source
microplasma,measures,temperature,Plasma Source,Quantity
voltage amplitude,hasUnit,h,Quantity,Unit
V Q Lissajous figure,usesDevice_Device_measures,breakdown voltage,Scientific Experiment,Quantity
pump,measures,electromagnetic field,Diagnostic Device,Quantity
core tube,usedToDiagnose_MaterialEntity_hasApplicationField,welding and cutting,Diagnostic Device,Application Field
DC,measures,field,Plasma Source,Quantity
Voltage and current characteristics,hasPlasmaSource_generates,discharge morphologies,Scientific Experiment,Plasma Study
ring -shaped chimney,usedIn_ResearchActivity_hasPlasmaSource,high frequency,Diagnostic Device,Plasma Source
experimental conditions,usesDevice_Device_measures,discharge area,Scientific Experiment,Quantity
flow,hasUnit,μm,Quantity,Unit
pressure,hasUnit,cm,Quantity,Unit
plasma generating device,measures,voltage,Diagnostic Device,Quantity
ATMOSPHERIC,hasApplicationField,PLASMA TREATMENT OF TEMPERATURE SENSITIVE PARTICULATE MATERIALS,Plasma Study,Application Field
ozone concentration,hasUnit,g kWh 1,Quantity,Unit
x ray measurements,investigates,x ray,Scientific Experiment,Physical Effect
treatment chamber,usedToDiagnose_MaterialEntity_hasApplicationField,deposition,Diagnostic Device,Application Field
peripheral magnetic circuit,usedIn_ResearchActivity_investigates,electron drift,Diagnostic Device,Physical Effect
laser beam,usesDevice_Device_measures,focal length,Scientific Experiment,Quantity
atmospheric pressure,uses,N2,Plasma Source,Medium
V Q plot,usesDevice_Device_measures,dissipated plasma energy,Scientific Experiment,Quantity
DBDs,measures_hasUnit,per unit of electrode area,Plasma Source,Unit
dielectric barrier discharge,uses,atmospheric pressure,Plasma Source,Medium
pulsed lasers,measures,energy density,Diagnostic Device,Quantity
quantitative estimation of the electric field,usesDevice_Device_measures,electron density,Scientific Experiment,Quantity
electrode,usedIn_ResearchActivity_hasPlasmaSource,upper electrode,Diagnostic Device,Plasma Source
chamber,measures,energy,Diagnostic Device,Quantity
kV,unit_of,current density,Unit,Quantity
spectrally resolved,usesDevice_Device_measures,MD current,Scientific Experiment,Quantity
iCCD camera,measures,resolution,Diagnostic Device,Quantity
magnetic field generating coils,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
semiconductor devices,usedToDiagnose_MaterialEntity_hasApplicationField,etch,Diagnostic Device,Application Field
detector,measures,time,Diagnostic Device,Quantity
experiment,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
dielectric barrier discharge,measures_hasUnit,mm,Plasma Source,Unit
steady state,generatedBy_measures,pulse period,Plasma Study,Quantity
plasma torch,measures,heat,Plasma Source,Quantity
reactor,usedIn_ResearchActivity_hasPlasmaSource,jets,Diagnostic Device,Plasma Source
time step,hasMedium,virtually pure N 2,Scientific Experiment,Medium
Electrodes,measures,-velocity,Diagnostic Device,Quantity
recorded,usesDevice_Device_measures,filament position,Scientific Experiment,Quantity
power system,usedIn_ResearchActivity_hasPlasmaSource,set of electrodes,Diagnostic Device,Plasma Source
discharge current,hasUnit,ppm,Quantity,Unit
DBDs,measures,high voltage pulse,Plasma Source,Quantity
non -equilibrium,generatedBy_measures,voltage,Plasma Study,Quantity
pulsed dielectric barrier arrangement,measures,voltage amplitude,Plasma Source,Quantity
Atmospheric pressure,hasApplicationField,applications,Plasma Study,Application Field
duty cycles,hasUnit,mm,Quantity,Unit
fast optical and electrical,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
CVD reaction chamber,usedToDiagnose_MaterialEntity_hasApplicationField,CVD,Diagnostic Device,Application Field
depressurized processing chamber,usedIn_ResearchActivity_hasPlasmaSource,microwaves,Diagnostic Device,Plasma Source
streak measurements,usesConfiguration,single filament arrangement,Scientific Experiment,Configuration
cyclotron,measures,magnetic field,Diagnostic Device,Quantity
accelerator vacuum pipe,usedIn_ResearchActivity_investigates,charged -particle acceleration,Diagnostic Device,Physical Effect
measuring capacitor,usedIn_ResearchActivity_hasPlasmaSource,DBD,Diagnostic Device,Plasma Source
Q U diagram,usesDevice_Device_measures,area,Scientific Experiment,Quantity
capacitor,hasUnit,nF,Quantity,Unit
current voltage oscillography,hasMedium,nitrogen with small admixtures of oxygen,Scientific Experiment,Medium
probes,hasConfiguration,grounded electrode,Diagnostic Device,Configuration
capacitive device,measures,gas flow,Diagnostic Device,Quantity
current pulse measurements,hasPlasmaSource,microdischarge,Scientific Experiment,Plasma Source
the antenna,measures,power,Diagnostic Device,Quantity
depressurized processing chamber,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
treatment chamber,usedToDiagnose_MaterialEntity_hasApplicationField,plasma treatment,Diagnostic Device,Application Field
injector system,usedIn_ResearchActivity_hasPlasmaSource,thruster,Diagnostic Device,Plasma Source
ICCD photos,usesDevice_Device_measures,electrostatic field geometry,Scientific Experiment,Quantity
nC cm 2,unit_of,positive surface charge density profile peaks,Unit,Quantity
emitter,measures,current,Diagnostic Device,Quantity
water tube,usedIn_ResearchActivity_hasPlasmaSource,electric sparks,Diagnostic Device,Plasma Source
discharge channel,generatedBy_measures,time,Plasma Study,Quantity
current,hasUnit,microseconds,Quantity,Unit
striations,generatedBy_measures,density of excited species,Plasma Study,Quantity
Quanta Ray GCR 130,usedIn_ResearchActivity_investigates,Laser,Diagnostic Device,Physical Effect
circulating water pump,usedIn_ResearchActivity_hasPlasmaSource,anode coil,Diagnostic Device,Plasma Source
DBDs,measures,amplitude,Plasma Source,Quantity
high voltage probe,measures,discharge current,Diagnostic Device,Quantity
kV,unit_of,burning voltage,Unit,Quantity
Torr,unit_of,temperature,Unit,Quantity
coil,measures,magnetic field,Diagnostic Device,Quantity
power supply,measures,electrical power,Diagnostic Device,Quantity
Abel inverted profiles,hasPlasmaSource,coplanar surface DBD,Scientific Experiment,Plasma Source
bandwidth range,usesDevice_Device_measures,rise time,Scientific Experiment,Quantity
non inductive shunt resistor,usedIn_ResearchActivity_investigates,voltage drop,Diagnostic Device,Physical Effect
DEVICE,usedIn_ResearchActivity_hasPlasmaSource,COLD PLASMA,Diagnostic Device,Plasma Source
apparatus,measures,radio -frequency rotating magnetic field,Diagnostic Device,Quantity
measured,usesDevice_Device_measures,currentvoltage,Scientific Experiment,Quantity
process chamber,usedIn_ResearchActivity_hasMedium,process gas,Diagnostic Device,Medium
MDs,measures,current,Plasma Source,Quantity
gassifier,measures,chemical energy,Diagnostic Device,Quantity
atmospheric pressure,hasApplicationField,Plasma processing,Plasma Study,Application Field
power,hasUnit,cm 3,Quantity,Unit
plasma properties,generatedBy_measures,transferred charge,Plasma Study,Quantity
ZIROX SGM 7 4,usedIn_ResearchActivity_hasMedium,virtually pure N 2,Diagnostic Device,Medium
volts,unit_of,capacitance,Unit,Quantity
ICCD camera,usedIn_ResearchActivity_hasMedium,nominally pure helium,Diagnostic Device,Medium
inhomogeneity,generatedBy_measures,inter electrode distance,Plasma Study,Quantity
impurity concentrations,hasUnit,Td,Quantity,Unit
electrical characteristics,usesConfiguration,gap distance,Scientific Experiment,Configuration
current detecting unit,usedIn_ResearchActivity_hasPlasmaSource,plasma ignition apparatus,Diagnostic Device,Plasma Source
vol,unit_of,reduced electrical field,Unit,Quantity
spectrally integrated,usesDevice_Device_measures,width,Scientific Experiment,Quantity
Charged particle accelerator,usedIn_ResearchActivity_investigates,charged particle acceleration,Diagnostic Device,Physical Effect
upper electrode,measures,direct current,Plasma Source,Quantity
camera,measures_hasUnit,mm,Diagnostic Device,Unit
UV and blue spectral range,hasMedium,O 2 in N 2,Scientific Experiment,Medium
vol,unit_of,charge carrier densities,Unit,Quantity
iCCD single shots,usesDevice_Device_measures,discharge channel emission diameter,Scientific Experiment,Quantity
recorded,usesDevice_Device_measures,spatial shift,Scientific Experiment,Quantity
corona discharges,measures,pressure,Plasma Source,Quantity
mm,unit_of,discharge diameters,Unit,Quantity
plasma chamber,measures,rf energy,Diagnostic Device,Quantity
DBDs,measures_hasUnit,ns,Plasma Source,Unit
process chamber,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
mbar,unit_of,pressure,Unit,Quantity
V Q plot,usesDevice_Device_measures,area,Scientific Experiment,Quantity
electric discharge,measures,time,Plasma Source,Quantity
alternating current generating unit,usedToDiagnose_MaterialEntity_hasApplicationField,sterilizing brush,Diagnostic Device,Application Field
control unit,usedIn_ResearchActivity_hasPlasmaSource,alternating current,Diagnostic Device,Plasma Source
feeding voltage,hasUnit,kV,Quantity,Unit
inductance,measures,inductance,Diagnostic Device,Quantity
chamber,usedIn_ResearchActivity_hasPlasmaSource,high vacuum level,Diagnostic Device,Plasma Source
neutron source,usedToDiagnose_MaterialEntity_hasApplicationField,neutron activation,Diagnostic Device,Application Field
vapor gas jet,usedIn_ResearchActivity_hasPlasmaSource,gas jet,Diagnostic Device,Plasma Source
segmentation of the external counterelectrode,uses,air,Plasma Source,Medium
frequency,hasUnit,µs,Quantity,Unit
microwave,measures,bias voltage,Plasma Source,Quantity
chamber,measures,radius,Diagnostic Device,Quantity
control device,measures,charge,Diagnostic Device,Quantity
cm,unit_of,relaxation time,Unit,Quantity
short exposure time photography,usesDevice_Device_measures,time,Scientific Experiment,Quantity
2D structure measured,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
0 25 m monochromator,usedIn_ResearchActivity_investigates,emission,Diagnostic Device,Physical Effect
printed circuit boards,measures,UV lights,Diagnostic Device,Quantity
power supply,usedIn_ResearchActivity_hasMedium,vacuum,Diagnostic Device,Medium
laser photodetachment experiments,usesDevice_Device_measures,ion density,Scientific Experiment,Quantity
consumables holder assembly,usedIn_ResearchActivity_hasPlasmaSource,plasma arc torch,Diagnostic Device,Plasma Source
laser photodetachment experiment,usesConfiguration,barrier discharge configuration,Scientific Experiment,Configuration
Control measurements,investigates,surface bound,Scientific Experiment,Physical Effect
electrical quantities,usesDevice_Device_measures,applied voltage U,Scientific Experiment,Quantity
kV,unit_of,voltage characteristics,Unit,Quantity
concentric electromagnet coils,measures,microwave electric field,Diagnostic Device,Quantity
oscilloscope,measures,total charge,Diagnostic Device,Quantity
emission structure,generatedBy_measures,gap distances,Plasma Study,Quantity
process chamber,measures,energy,Diagnostic Device,Quantity
calibration procedure,investigates,birefringence,Scientific Experiment,Physical Effect
DBD,measures,residual charge,Plasma Source,Quantity
high frequency,measures,high power,Plasma Source,Quantity
REACTOR,usedToDiagnose_MaterialEntity_hasApplicationField,PLASMA ETCH,Diagnostic Device,Application Field
diagnostic set up,hasPlasmaSource,dielectric barrier MD,Scientific Experiment,Plasma Source
duration,hasUnit,nC,Quantity,Unit
APGD,uses,virtually pure N 2,Plasma Source,Medium
solenoid coils,usedIn_ResearchActivity_hasPlasmaSource,microwaves,Diagnostic Device,Plasma Source
circuit for characterization,usesDevice_Device_measures,capacitance,Scientific Experiment,Quantity
DBD,uses,N 2 O admixtures,Plasma Source,Medium
MKS 179B,measures_hasUnit,sccm,Diagnostic Device,Unit
gas sprayers,usedToDiagnose_MaterialEntity_hasApplicationField,plasma -enhanced atomic layer deposition,Diagnostic Device,Application Field
BD,uses,He N 2 mixture,Plasma Source,Medium
magnets,measures,temperature,Diagnostic Device,Quantity
discharge volume,hasUnit,cm s 1,Quantity,Unit
experiments,usesConfiguration,symmetric double sided,Scientific Experiment,Configuration
amplifier,usedIn_ResearchActivity_hasPlasmaSource,radio frequency,Diagnostic Device,Plasma Source
mJ,unit_of,negative ion density,Unit,Quantity
Solid State Power Amplifier,measures,microwave energy,Diagnostic Device,Quantity
mm,unit_of,electric field,Unit,Quantity
